"SITECODE","NAME","EMAIL","ADDRESS_UNSTRUCTURED","ADMINUNIT","THOROUGHFARE","DESIGNATOR","POSTCODE","POSTNAME","ADDRESS","LOCATORNAME"
"FI0200013","","","Lounais-Suomen ympäristökeskus Pl 47  20801 Turku","","","","","","",""
"FI0200014","","","Lounais-Suomen ympäristökeskus Pl 47  20801 Turku","","","","","","",""
"FI0200015","","","Lounais-Suomen ympäristökeskus Pl 47  20801 Turku","","","","","","",""
"FI0200016","","","Lounais-Suomen ympäristökeskus PL 47  20801  Turku","","","","","","",""
"FI0200017","","","Lounais-Suomen ympäristökeskus Pl 47  20801 Turku","","","","","","",""
"FI0200018","","","Lounais-Suomen ympäristökeskus Pl 47  20801 Turku","","","","","","",""
"FI0200019","","","Lounais-Suomen ympäristökeskus Pl 47   20801 Turku","","","","","","",""
"FI0200020","","","Lounais-Suomen ympäristökeskus Pl 47  20801 Turku","","","","","","",""
"FI0200021","","","Lounais-Suomen ympäristökeskus Pl 47  20801 Turku","","","","","","",""
"FI0200022","","","Lounais-Suomen ympäristökeskus Pl 47  20801 Turku","","","","","","",""
"FI0200023","","","Lounais-Suomen ympäristökeskus Pl 47  20801 Turku","","","","","","",""
"FI0200024","","","Lounais-Suomen ympäristökeskus Pl 47  20801 Turku","","","","","","",""
"FI0200025","","","Lounais-Suomen ympäristökeskus Pl 47  20801 Turku","","","","","","",""
"FI0200026","","","Lounais-Suomen ympäristökeskus Pl 47  20801 Turku","","","","","","",""
"FI0200027","","","Lounais-Suomen ympäristökeskus Pl 47  20801 Turku","","","","","","",""
"FI0200028","","","Lounais-Suomen ympäristökeskus Pl 47   20801 Turku","","","","","","",""
"FI0200029","","","Lounais-Suomen ympäristökeskus Pl 47   20801 Turku","","","","","","",""
"FI0200030","","","Lounais-Suomen ympäristökeskus Pl 47  20801 Turku","","","","","","",""
"FI0200031","","","Lounais-Suomen ympäristökeskus Pl 47  20801 Turku","","","","","","",""
"FI0200032","","","Lounais-Suomen ympäristökeskus Pl 47  20801 Turku","","","","","","",""
"FI0200033","","","Lounais-Suomen ympäristökeskus Pl 47  20801 Turku","","","","","","",""
"FI0200034","","","Lounais-Suomen ympäristökeskus Pl 47  20801 Turku","","","","","","",""
"FI0200035","","","Lounais-Suomen ympäristökeskus Pl 47  20801 Turku","","","","","","",""
"FI0200036","","","Lounais-Suomen ympäristökeskus Pl 47  20801 Turku","","","","","","",""
"FI0200037","","","Lounais-Suomen ympäristökeskus Pl 47  20801 Turku","","","","","","",""
"FI0200038","","","Lounais-Suomen ympäristökeskus Pl 47  20801 Turku","","","","","","",""
"FI0200039","","","Lounais-Suomen ympäristökeskus Pl 47   20801 Turku","","","","","","",""
"FI0200040","","","Lounais-Suomen ympäristökeskus Pl 47  20801 Turku","","","","","","",""
"FI0200041","","","Lounais-Suomen ympäristökeskus Pl 47  20801 Turku","","","","","","",""
"FI0200042","","","Lounais-Suomen ympäristökeskus Pl 47  20801 Turku","","","","","","",""
"FI0200043","","","Lounais-Suomen ympäristökeskus Pl 47  20801 Turku","","","","","","",""
"FI0200044","","","Lounais-Suomen ympäristökeskus Pl 47  20801  Turku","","","","","","",""
"FI0200045","","","Lounais-Suomen ympäristökeskus Pl 47   20801 Turku","","","","","","",""
"FI0200046","","","Lounais-Suomen ympäristökeskus Pl 47  20801 Turku","","","","","","",""
"FI0200047","","","Lounais-Suomen ympäristökeskus Pl 47  20801 Turku","","","","","","",""
"FI0200048","","","Lounais-Suomen ympäristökeskus Pl 47  20801 Turku","","","","","","",""
"FI0200049","","","Lounais-Suomen ympäristökeskus Pl 47   20801 Turku","","","","","","",""
"FI0200050","","","Lounais-Suomen ympäristökeskus Pl 47  20801 Turku","","","","","","",""
"FI0200052","","","Lounais-Suomen ympäristökeskus Pl 47  20801 Turku","","","","","","",""
"FI0200053","","","Lounais-Suomen ympäristökeskus Pl 47   20801 Turku","","","","","","",""
"FI0200056","","","Lounais-Suomen ympäristökeskus Pl 47   20801 Turku","","","","","","",""
"FI0200057","","","Lounais-Suomen ympäristökeskus Pl 47    20801 Turku","","","","","","",""
"FI0200058","","","Lounais-Suomen ympäristökeskus Pl 47   20801 Turku","","","","","","",""
"FI0200059","","","Lounais-Suomen ympäristökeskus PL 47    20801 Turku","","","","","","",""
"FI0200060","","","Lounais-Suomen ympäristökeskus    Pl 47  20801  Turku","","","","","","",""
"FI0200061","","","Lounais-Suomen ympäristökeskus       Pl 47  20801 Turku","","","","","","",""
"FI0200062","","","Lounais-Suomen ympäristökeskus Pl 47   20801 Turku","","","","","","",""
"FI0200063","","","Lounais-Suomen ympäristökeskus Pl 47 20801 Turku","","","","","","",""
"FI0200064","","","Lounais-Suomen ympäristökeskus Pl 47   20801 Turku","","","","","","",""
"FI0200065","","","Lounais-Suomen ympäristökeskus Pl 47  20801 Turku","","","","","","",""
"FI0200066","","","Lounais-Suomen ympäristökeskus Pl 47  20801 Turku","","","","","","",""
"FI0200067","","","Lounais-Suomen ympäristökeskus Pl 47  20801 Turku","","","","","","",""
"FI0200068","","","Lounais-Suomen ympäristökeskus Pl 47   20801  Turku","","","","","","",""
"FI0200069","","","Lounais-Suomen ympäristökeskus Pl 47  20801 Turku","","","","","","",""
"FI0200070","","","Lounais-Suomen ympäristökeskus Pl 47  20801 Turku","","","","","","",""
"FI0200071","","","Lounais-Suomen ympäristökeskus Pl 47  20801 Turku","","","","","","",""
"FI0200072","","","Lounais-Suomen ympäristökeskus Pl 47  20801 Turku","","","","","","",""
"FI0200073","","","Lounais-Suomen ympäristökeskus Pl 47  20801 Turku","","","","","","",""
"FI0200074","","","Lounais-Suomen ympäristökeskus Pl 47  20801 Turku","","","","","","",""
"FI0200075","","","Lounais-Suomen ympäristökeskus Pl 47  20801 Turku","","","","","","",""
"FI0200076","","","Lounais-Suomen ympäristökeskus Pl 47  20801 Turku","","","","","","",""
"FI0200077","","","Lounais-Suomen ympäristökeskus Pl 47  20801 Turku","","","","","","",""
"FI0200078","","","Lounais-Suomen ympäristökeskus Pl 47  20801 Turku","","","","","","",""
"FI0200079","","","Lounais-Suomen ympäristökeskus PL 47  20801 Turku","","","","","","",""
"FI0200080","","","Lounais-Suomen ympäristökeskus PL 47  20801 Turku","","","","","","",""
"FI0200081","","","Lounais-Suomen ympäristökeskus Pl 47  20801 Turku","","","","","","",""
"FI0200082","","","Lounais-Suomen ympäristökeskus Pl 47  20801 Turku","","","","","","",""
"FI0200083","","","Lounais-Suomen ympäristökeskus Pl 47   20801 Turku","","","","","","",""
"FI0200084","","","Lounais-Suomen ympäristökeskus PL 47  20801 Turku","","","","","","",""
"FI0200085","","","Lounais-Suomen ympäristökeskus PL 47  20801 Turku","","","","","","",""
"FI0200086","","","Lounais-Suomen ympäristökeskus PL 47   20801 Turku","","","","","","",""
"FI0200087","","","Lounais-Suomen ympäristökeskus PL 47  20801 Turku","","","","","","",""
"FI0200088","","","Lounais-Suomen ympäristökeskus PL 47  20801 Turku","","","","","","",""
"FI0200089","","","Lounais-Suomen ympäristökeskus Pl 47   20801  Turku","","","","","","",""
"FI0200090","","","Lounais-Suomen ympäristökeskus Pl 47  20801 Turku","","","","","","",""
"FI0200091","","","Lounais-Suomen ympäristökeskus Pl 47  20801 Turku","","","","","","",""
"FI0200092","","","Lounais-Suomen ympäristökeskus Pl 47  20801 Turku","","","","","","",""
"FI0200093","","","Lounais-Suomen ympäristökeskus PL 47  20801 Turku","","","","","","",""
"FI0200094","","","Lounais-Suomen ympäristökeskus PL 47  20801 Turku","","","","","","",""
"FI0200095","","","Lounais-Suomen ympäristökeskus Pl 47  20801 Turku","","","","","","",""
"FI0200096","","","Lounais-Suomen ympäristökeskus Pl 47  20801 Turku","","","","","","",""
"FI0200097","","","Lounais-Suomen ympäristökeskus PL 47  20801 Turku","","","","","","",""
"FI0200098","","","Lounais-Suomen ympäristökeskus PL 47  20801 Turku","","","","","","",""
"FI0200099","","","Lounais-Suomen ympäristökeskus PL 47  20801 Turku","","","","","","",""
"FI0200100","","","Lounais-Suomen ympäristökeskus Pl 47  20801 Turku","","","","","","",""
"FI0200101","","","Lounais-Suomen ympäristökeskus PL 47  20801 Turku","","","","","","",""
