"DIRECTIVE","SPECIESNAME","ANNEXII","ANNEXII1","ANNEXII2","ANNEXIII1","ANNEXIII2","ANNEXIV","ANNEXV","SPBCAX1"
"Birds Directive","Motacilla cinerea","N","N","N","N","N","","",""
"Birds Directive","Motacilla finere","N","N","N","N","N","","",""
"Birds Directive","Motacilla flava","N","N","N","N","N","","",""
"Birds Directive","Muscicapa latirostris","N","N","N","N","N","","",""
"Birds Directive","Muscicapa striata","N","N","N","N","N","","",""
"Birds Directive","Neophron percnopterus","Y","N","N","N","N","","",""
"Birds Directive","Netta rufina","N","N","Y","N","N","","",""
"Birds Directive","Nucifraga caryocatactes","N","N","N","N","N","","",""
"Birds Directive","Numenius arquata","N","N","Y","N","N","","",""
"Birds Directive","Numenius phaeopus","N","N","Y","N","N","","",""
"Birds Directive","Numenius tenuirostris","Y","N","N","N","N","","",""
"Birds Directive","Nyctea scandiaca","Y","N","N","N","N","","",""
"Birds Directive","Nycticorax nycticorax","Y","N","N","N","N","","",""
"Birds Directive","Oceanodroma castro","Y","N","N","N","N","","",""
"Birds Directive","Oceanodroma leucorhoa","Y","N","N","N","N","","",""
"Birds Directive","Oenanthe cypriaca","Y","N","N","N","N","","",""
"Birds Directive","Oenanthe finischii","N","N","N","N","N","","",""
"Birds Directive","Oenanthe hispanica","N","N","N","N","N","","",""
"Birds Directive","Oenanthe isabellina","N","N","N","N","N","","",""
"Birds Directive","Oenanthe leucopyga","N","N","N","N","N","","",""
"Birds Directive","Oenanthe leucura","Y","N","N","N","N","","",""
"Birds Directive","Oenanthe oenanthe","N","N","N","N","N","","",""
"Birds Directive","Oenanthe pleschanka","Y","N","N","N","N","","",""
"Birds Directive","Oriolus oriolus","N","N","N","N","N","","",""
"Birds Directive","Otis tarda","Y","N","N","N","N","","",""
"Birds Directive","Otus brucei","N","N","N","N","N","","",""
"Birds Directive","Otus scops","N","N","N","N","N","","",""
"Birds Directive","Oxyura leucocephala","Y","N","N","N","N","","",""
"Birds Directive","Pagophila eburnea","N","N","N","N","N","","",""
"Birds Directive","Pandion haliaetus","Y","N","N","N","N","","",""
"Birds Directive","Panurus biarmicus","N","N","N","N","N","","",""
"Birds Directive","Parus ater","N","N","N","N","N","","",""
"Birds Directive","Parus ater cypriotes","Y","N","N","N","N","","",""
"Birds Directive","Parus caeruleus","N","N","N","N","N","","",""
"Birds Directive","Parus cinctus","N","N","N","N","N","","",""
"Birds Directive","Parus cristatus","N","N","N","N","N","","",""
"Birds Directive","Parus cyanus","N","N","N","N","N","","",""
"Birds Directive","Parus lugubris","N","N","N","N","N","","",""
"Birds Directive","Parus major","N","N","N","N","N","","",""
"Birds Directive","Parus montanus","N","N","N","N","N","","",""
"Birds Directive","Parus palustris","N","N","N","N","N","","",""
"Birds Directive","Passer domesticus","N","N","N","N","N","","",""
"Birds Directive","Passer hispaniolensis","N","N","N","N","N","","",""
"Birds Directive","Passer montanus","N","N","N","N","N","","",""
"Birds Directive","Pelagodroma marina","Y","N","N","N","N","","",""
"Birds Directive","Pelecanus crispus","Y","N","N","N","N","","",""
"Birds Directive","Pelecanus onocrotalus","Y","N","N","N","N","","",""
"Birds Directive","Perdix perdix","N","Y","N","Y","N","","",""
"Birds Directive","Perdix perdix hispaniensis","Y","N","N","N","N","","",""
"Birds Directive","Perdix perdix italica","Y","N","N","N","N","","",""
"Birds Directive","Perisoreus infaustus","N","N","N","N","N","","",""
"Birds Directive","Pernis apivorus","Y","N","N","N","N","","",""
"Birds Directive","Petronia petronia","N","N","N","N","N","","",""
"Birds Directive","Phalacrocorax aristotelis","N","N","N","N","N","","",""
"Birds Directive","Phalacrocorax aristotelis desmarestii","Y","N","N","N","N","","",""
"Birds Directive","Phalacrocorax carbo","N","N","N","N","N","","",""
"Birds Directive","Phalacrocorax carbo sinensis","N","N","N","N","N","","",""
"Birds Directive","Phalacrocorax pygmeus","Y","N","N","N","N","","",""
"Birds Directive","Phalaropus fulicarius","N","N","N","N","N","","",""
"Birds Directive","Phalaropus lobatus","Y","N","N","N","N","","",""
"Birds Directive","Phalaropus tricolor","N","N","N","N","N","","",""
"Birds Directive","Phasianus colchicus","N","Y","N","Y","N","","",""
"Birds Directive","Philomachus pugnax","Y","N","Y","N","N","","",""
"Birds Directive","Phoenicopterus ruber","Y","N","N","N","N","","",""
"Birds Directive","Phoenicurus ochruros","N","N","N","N","N","","",""
"Birds Directive","Phoenicurus phoenicurus","N","N","N","N","N","","",""
"Birds Directive","Phoenicurus torquata","N","N","N","N","N","","",""
"Birds Directive","Phylloscopus bonelli","N","N","N","N","N","","",""
"Birds Directive","Phylloscopus borealis","N","N","N","N","N","","",""
"Birds Directive","Phylloscopus collybita","N","N","N","N","N","","",""
"Birds Directive","Phylloscopus sibilatrix","N","N","N","N","N","","",""
"Birds Directive","Phylloscopus trochiloides","N","N","N","N","N","","",""
"Birds Directive","Phylloscopus trochilus","N","N","N","N","N","","",""
"Birds Directive","Pica pica","N","N","Y","N","N","","",""
"Birds Directive","Picoides tridactylus","Y","N","N","N","N","","",""
"Birds Directive","Picus canus","Y","N","N","N","N","","",""
"Birds Directive","Picus viridis","N","N","N","N","N","","",""
